"","netto schade","netto CvP","kwijtschelding","netto schade","netto CvP","kwijtschelding","netto schade","netto CvP","kwijtschelding","netto schade","netto CvP","kwijtschelding"
"Kenia","-109.012","-542.969","0","","","","","","","-109.012","-542.969","0"
"Kroatië","-2.972.393","533.679","0","","","","","","","-2.972.393","533.679","0"
"Liberia","14.689","147.036","9.411.992","","","","","","","14.689","147.036","9.411.992"
"Liechtenstein","","","","3.338.564","0","0","","","","3.338.564","0","0"
"Mali","-34.105","71.824","4.233.137","","","","","","","-34.105","71.824","4.233.137"
"Marokko","-104.878","91.677","0","","","","","","","-104.878","91.677","0"
"Mauretanië","1.009","139","11.507.267","2.110.034","-225.909","10.057.003","","","","2.111.043","-225.770","21.564.271"
"Mauritius","","","","12.082.290","0","0","","","","12.082.290","0","0"
"Mexico","1","72.407","0","146.872.563","0","0","","","","146.872.564","72.407","0"
"Montenegro","","","","0","3.960","272.535","","","","0","3.960","272.535"
"Myanmar","-724.286","129.507","218.441","","","","","","","-724.286","129.507","218.441"
"Nederland","","","","67.908.274","0","0","","","","67.908.274","0","0"
"Nicaragua","9.205","255.796","7.077.963","","","","","","","9.205","255.796","7.077.963"
"Nigeria","1.133.596","6.979.011","278.939.451","117","0","867.463","","","","1.133.713","6.979.011","279.806.913"
"Noord Korea","","254.296","0","239","6.610.455","0","","","","239","6.864.751","0"
"Oekraïne","","","","12.629","0","0","","","","12.629","0","0"
"Pakistan","9.195","2.585.983","0","","","","","","","9.195","2.585.983","0"
"Panama","","","","30.839.729","0","0","","","","30.839.729","0","0"
"Peru","-909.103","-9.313","0","-15.031","-11.775","0","","","","-924.133","-21.088","0"
"Polen","-41.660","25.795.833","119.959.047","647.222","0","0","","","","605.562","25.795.833","119.959.047"
"Republiek Noord-Macedonië","-65.355","93.705","0","","","","","","","-65.355","93.705","0"
"Roemenië","142","108","0","","","","","","","142","108","0"
"Rusland","","","","12.800.252","0","0","","","","12.800.252","0","0"
"Rwanda","-95.252","9.308","1.592.152","","","","","","","-95.252","9.308","1.592.152"
"Saoedi Arabië","","","","40.284.738","0","0","","","","40.284.738","0","0"
"Senegal","-594","302.060","5.047.426","","","","","","","-594","302.060","5.047.426"
"Servië","-147.416","2.730.869","23.587.174","466","31.991","751.006","","","","-146.951","2.762.859","24.338.180"
"Sierra Leone","77.239","23.614","5.128.780","907.187","98.618","6.919.946","","","","984.427","122.232","12.048.726"
"Slovenië","-336","7.900","0","","","","","","","-336","7.900","0"
"Soedan (Noord)","37.025","24.096.754","0","19.780","14.997.595","0","","","","56.805","39.094.349","0"
"Somali Republiek","21","271.903","552.045","","","","","","","21","271.903","552.045"
"Sri Lanka","","","","61.580.922","0","0","","","","61.580.922","0","0"
