"","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035 e.v.","totaal"
"EKV","","","","","","","","","","","","",""
"Saoedi Arabië","17.506.052","19.290.253","18.500.500","16.963.008","14.746.252","12.942.615","12.276.430","11.609.783","0","0","0","0","123.834.893"
"Singapore","2.175.057","1.327.927","427.732","408.924","197.409","0","0","0","0","0","0","0","4.537.049"
"Spanje","3.700.905","3.637.053","3.573.197","2.397.970","2.260.369","1.067.746","0","0","0","0","0","0","16.637.240"
"Sri Lanka","51.867.614","50.240.291","38.214.786","32.415.209","27.044.274","24.779.429","22.552.722","16.322.643","14.841.150","10.380.441","2.126.211","0","290.784.770"
"St. Vincent & Grenadines","973.324","929.781","200.685","191.628","0","0","0","0","0","0","0","0","2.295.418"
"Suriname","2.562.581","1.264.991","0","0","0","0","0","0","0","0","0","0","3.827.572"
"Taiwan","74.931.751","78.156.541","77.258.220","76.359.898","75.462.366","75.888.066","71.187.844","65.293.947","64.464.699","63.633.967","62.803.977","273.376.026","1.058.817.302"
"Tanzania","38.866.133","28.567.178","20.217.776","18.018.113","0","0","0","0","0","0","0","0","105.669.201"
"Toerkmenistan","12.626.033","12.626.033","7.788.527","5.816.395","0","0","0","0","0","0","0","0","38.856.988"
"Trinidad & Tobago","2.913.652","1.430.316","0","0","0","0","0","0","0","0","0","0","4.343.968"
"Tsjaad","0","0","0","2.364.708","4.729.416","4.729.416","4.729.416","4.729.416","4.729.416","4.729.416","4.729.416","16.563.091","52.033.707"
"Tunesië","3.964.226","3.926.271","3.888.727","3.851.063","3.813.464","1.892.523","0","0","0","0","0","0","21.336.275"
"Turkije","2.347.381","1.840.766","1.805.973","1.270.959","877.000","0","0","0","0","0","0","0","8.142.080"
"Uruguay","99.970","99.970","99.970","99.970","49.985","0","0","0","0","0","0","0","449.865"
"Verenigd Koninkrijk","9.002.581","5.632.694","3.884.871","2.601.904","2.601.904","2.601.904","2.601.904","2.601.904","0","0","0","0","31.529.665"
"Verenigde Arabische Emiraten","35.664.392","36.306.747","40.100.370","21.338.957","18.971.874","11.385.794","3.891.191","3.595.928","1.702.232","0","0","0","172.957.486"
"Verenigde Staten van Amerika","51.082.053","51.903.967","51.483.507","50.502.560","48.403.891","45.585.734","43.447.184","42.268.659","36.668.088","21.609.705","0","0","442.955.348"
"Vietnam","7.747.040","7.696.272","7.645.504","7.547.818","6.679.237","5.988.091","5.988.091","5.988.091","5.988.091","5.988.091","5.988.091","39.764.100","113.008.517"
"Zambia","12.088.328","11.677.943","11.268.015","10.859.343","5.160.537","4.845.645","4.531.776","0","0","0","0","0","60.431.587"
"Zuid Afrika","1.384.431","2.209.431","1.567.330","967.100","967.100","967.100","967.100","967.100","967.100","967.100","967.100","9.665.674","22.563.670"
"Zuid Korea","651.593","344.168","0","0","0","0","0","0","0","0","0","0","995.761"
"Zweden","4.218.424","4.012.850","3.807.418","3.601.985","3.396.694","3.191.120","1.518.312","0","0","0","0","0","23.746.804"
"Totaal","1.363.073.118","1.581.305.343","1.405.994.364","1.522.302.695","1.151.342.833","935.012.471","804.541.711","684.502.576","585.751.709","642.947.446","459.375.305","886.516.480","12.022.666.052"
