"","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035 e.v.","totaal"
"DTIF","","","","","","","","","","","","",""
"Argentinië","1.156.448","981.568","685.444","500.918","315.085","39.717","22.200","0","0","0","0","0","3.701.381"
"Australië","268.230","0","0","0","0","0","0","0","0","0","0","0","268.230"
"China","774.842","767.226","0","0","0","0","0","0","0","0","0","0","1.542.068"
"Curaçao","48.322","46.549","22.609","0","0","0","0","0","0","0","0","0","117.480"
"Duitsland","103.913","0","0","0","0","0","0","0","0","0","0","0","103.913"
"Ecuador","2.889.565","2.627.046","2.254.809","2.004.264","765.709","0","0","0","0","0","0","0","10.541.393"
"El Salvador","121.923","115.309","55.198","0","0","0","0","0","0","0","0","0","292.430"
"Estland","310.411","303.768","297.125","146.071","0","0","0","0","0","0","0","0","1.057.375"
"Griekenland","125.740","0","0","0","0","0","0","0","0","0","0","0","125.740"
"Hong Kong","144.700","22.990","0","0","0","0","0","0","0","0","0","0","167.690"
"Oekraïne","395.051","277.007","268.553","66.082","0","0","0","0","0","0","0","0","1.006.693"
"Oezbekistan","376.486","348.119","0","0","0","0","0","0","0","0","0","0","724.605"
"Polen","118.645","118.645","0","0","0","0","0","0","0","0","0","0","237.290"
"Saoedi Arabië","1.593.835","1.550.230","979.583","246.160","43.605","0","0","0","0","0","0","0","4.413.413"
"Uruguay","115.829","107.381","50.620","0","0","0","0","0","0","0","0","0","273.830"
"Verenigd Koninkrijk","261.374","261.374","261.374","130.687","0","0","0","0","0","0","0","0","914.808"
"Verenigde Staten van Amerika","608.189","775.910","750.539","175.067","0","0","0","0","0","0","0","0","2.309.705"
"Zwitserland","1.224.045","1.165.544","1.107.043","1.048.540","502.332","0","0","0","0","0","0","0","5.047.504"
"Totaal","10.637.546","9.468.667","6.732.897","4.317.788","1.626.731","39.717","22.200","0","0","0","0","0","32.845.547"
