"December
2023","","","","","","","","","","","","",""
"","","","","signalerings-","landen-","","dekkings-","","","dekkings-","","",""
"","","","","plafond","plafond","","toezeggingen","","","adviezen","","",""
"land en premieklasse","beleid","IMF/WB","DGGF","","","polissen","","schade","CvP","","aanvragen","totaal","ruimte"
"Monaco (0)","geen beleid","","nee","375.000.000","500.000.000","","","","","","","0","500.000.000"
"Mongoliº (7)","beperkt","","ja","225.000.000","300.000.000","0","0","0","0","0","0","0","300.000.000"
"Montenegro (7)","beperkt","","nee","35.000.000","50.000.000","0","0","0","3.960","0","0","3.960","50.000.000"
"Montserrat (0)","geen beleid","","nee","","","","","","","","","0",""
"Mozambique (7)","uitzondering","Zero non-concessional borrowing limit","ja","225.000.000","300.000.000","1.002.465.353","0","0","0","0","0","1.002.465.353","-702.465.353"
"Myanmar (7)","uitzondering","No conditionality","ja","225.000.000","300.000.000","0","15.637.825","0","129.507","0","0","15.767.332","284.362.175"
"Namibiº (6)","beperkt","","nee","525.000.000","700.000.000","","","","","","","0","700.000.000"
"Nauru (6)","geen beleid","","nee","85.000.000","115.000.000","","","","","","","0","115.000.000"
"Nederland (0)","open","","nee","","","806.788.939","1.484.300.504","67.908.274","0","0","651.130.452","2.358.997.717",""
"Nepal (6)","geen beleid","No conditionality","ja","350.000.000","450.000.000","","","","","","","0","450.000.000"
"Nicaragua (7)","beperkt","No non-concessional borrowing limit","ja","225.000.000","300.000.000","938.637","0","9.205","255.796","0","0","1.203.638","299.061.363"
"Nieuw Caledoniº (0)","geen beleid","","nee","","","","","","","","","0",""
"Nieuw Zeeland (0)","open","","nee","","","","","","","","","0",""
"Niger (7)","herzien","Non-zero non-concessional borrowing limit","ja","150.000.000","200.000.000","0","0","0","0","0","0","0","200.000.000"
"Nigeria (6)","beperkt","","ja","675.000.000","900.000.000","48.310.123","275.262","1.133.713","6.979.011","0","0","56.698.109","851.414.615"
"Niue (0)","uitzondering","","nee","","","","","","","","","0",""
"Noord Korea (7)","uitzondering","","nee","35.000.000","50.000.000","0","0","239","6.864.751","0","0","6.864.990","50.000.000"
"Noordelijke Marianen (0)","geen beleid","","nee","","","","","","","","","0",""
"Noord-Macedoniº (5)","beperkt","","nee","1.125.000.000","1.500.000.000","0","0","0","93.705","0","0","93.705","1.500.000.000"
"Noorwegen (0)","open","","nee","","","305.518.172","0","0","0","0","0","305.518.172",""
"Norfolk Eilanden (0)","open","","nee","","","","","","","","","0",""
"Oeganda (6)","beperkt","Non-zero non-concessional borrowing limit","ja","525.000.000","700.000.000","41.634.650","1.137.864","0","0","0","0","42.772.514","657.227.486"
"Oekra(cid:239)ne (7)","uitzondering","","ja","300.000.000","400.000.000","9.928.789","0","12.629","0","0","0","9.941.418","390.071.211"
"Oezbekistan (5)","beperkt","No conditionality","nee","1.125.000.000","1.500.000.000","7.192.792","0","0","0","0","0","7.192.792","1.492.807.208"
"Oman (5)","beperkt","","nee","1.500.000.000","2.000.000.000","529.030.259","0","0","0","0","3.082.223","529.030.259","1.470.969.741"
"Oost Timor (6)","beperkt","No non-concessional borrowing limit","nee","85.000.000","115.000.000","","","","","","","0","115.000.000"
"Oostenrijk (0)","open","","nee","","","0","0","0","0","0","","0",""
"Pakistan (7)","uitzondering","","ja","225.000.000","300.000.000","0","0","9.195","2.585.983","0","0","2.595.178","300.000.000"
"Palau (6)","geen beleid","","nee","85.000.000","115.000.000","","","","","","","0","115.000.000"
"Panama (4)","open","","nee","2.250.000.000","3.000.000.000","15.380.884","0","30.839.729","0","0","0","46.220.613","2.984.619.116"
"Papua Nieuw Guinea (6)","beperkt","Non-zero non-concessional borrowing limit","nee","525.000.000","700.000.000","0","141.064.927","0","0","0","0","141.064.927","558.935.073"
"Paraguay (5)","open","","nee","1.125.000.000","1.500.000.000","2.844.795","24.208.864","0","0","0","0","27.053.659","1.472.946.341"
"Peru (3)","open","","ja","","","0","0","0","0","0","0","0",""
"Pitcairn (0)","uitzondering","","nee","","","","","","","","","0",""
"1_60_stock","","","","","","' Atradius 2015","","","","","","","Page 5 of 8"
