"2025","","","januari","februari","maart","april","mei","juni","juli","augustus","september","oktober","november","december","totaal"
"Begrotingsleningen","","","","","","","","","","","","","","",""
"ABW","PRIN","AWG","0","0","0","0","0","1.629.370","0","0","0","0","0","0","1.629.370"
"","RINT","AWG","0","0","0","0","0","40.734","0","0","0","0","0","0","40.734"
"","PRIN","EUR","0","0","0","0","0","0","0","0","0","0","0","15.062","15.062"
"","RINT","EUR","0","0","0","0","0","0","0","0","0","0","0","377","377"
"AGO","CINT","EUR","0","0","0","0","0","590","0","0","0","0","0","590","1.180"
"","PRIN","EUR","0","0","0","0","0","21.727","0","0","0","0","0","21.727","43.454"
"","RINT","EUR","0","0","0","0","0","333","0","0","0","0","0","279","612"
"CUB","CINT","EUR","0","0","0","0","0","0","0","0","0","934.555","0","0","934.555"
"","PRIN","EUR","0","0","0","0","0","0","0","0","0","1.407.715","0","0","1.407.715"
"","RINT","EUR","0","0","0","0","0","0","0","0","0","331.442","0","0","331.442"
"EGY","PRIN","EUR","0","0","0","0","0","258.622","0","0","0","0","0","265.090","523.712"
"","RINT","EUR","0","0","0","0","0","19.722","0","0","0","0","0","13.530","33.251"
"MMR","CINT","EUR","196.259","0","0","0","0","0","196.259","0","0","0","0","0","392.518"
"","PRIN","EUR","253.400","0","0","0","0","0","253.400","0","0","0","0","0","506.800"
"","RINT","EUR","27.140","0","0","0","0","0","22.298","0","0","0","0","0","49.438"
"PAK","CINT","EUR","0","0","0","0","0","62.148","0","0","0","0","0","62.148","124.296"
"","PRIN","EUR","0","0","0","0","649.409","129.882","0","0","0","0","649.409","129.882","1.558.582"
"","RINT","EUR","250.957","0","0","0","0","2.631","238.813","0","0","0","0","2.165","494.566"
"","aflossing AWG","","0","0","0","0","0","1.629.370","0","0","0","0","0","0","1.629.370"
"","rente AWG","","0","0","0","0","0","40.734","0","0","0","0","0","0","40.734"
"","boeterente AWG","","","","","","","","","","","","","",""
"","Totaal AWG","","0","0","0","0","0","1.670.104","0","0","0","0","0","0","1.670.104"
"","aflossing EUR","","253.400","0","0","0","649.409","410.230","253.400","0","0","1.407.715","649.409","431.761","4.055.324"
"","rente EUR","","474.355","0","0","0","0","85.423","457.371","0","0","1.265.996","0","79.088","2.362.233"
"","boeterente EUR","","","","","","","","","","","","","",""
"","Totaal EUR","","727.755","0","0","0","649.409","495.654","710.771","0","0","2.673.711","649.409","510.849","6.417.558"
