"","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035 e.v.","totaal"
"EKV","","","","","","","","","","","","",""
"India","22.514.345","21.251.633","27.550.824","25.055.940","14.491.705","13.390.840","10.565.186","10.213.975","10.008.476","9.799.880","9.589.951","17.026.881","191.459.636"
"Indonesië","88.520.968","71.945.874","33.138.399","31.490.674","12.002.025","662.279","662.279","662.279","662.279","662.279","662.279","1.656.793","242.728.408"
"Italië","37.297.933","35.161.011","33.037.995","15.720.765","0","0","0","0","0","0","0","0","121.217.704"
"Ivoorkust","27.080.854","28.381.544","33.949.302","33.197.629","31.951.251","30.735.325","30.036.642","29.335.968","28.636.600","27.934.183","16.949.684","33.705.898","351.894.881"
"Japan","61.675.347","58.648.161","49.434.374","45.005.723","51.119.005","0","0","0","0","0","0","0","265.882.609"
"Jordanië","825.928","423.643","46.612","0","0","0","0","0","0","0","0","0","1.296.183"
"Kameroen","1.147.303","1.097.106","1.057.568","1.018.194","0","0","1.382.792","0","0","0","0","0","5.702.963"
"Kazachstan","1.148.483","1.083.610","517.505","0","0","0","0","0","0","0","0","0","2.749.597"
"Kenia","7.386.714","6.820.520","6.661.409","6.501.580","6.227.559","5.591.546","5.346.453","0","0","0","0","0","44.535.781"
"Koeweit","42.610.800","40.604.893","38.468.917","36.329.032","34.191.599","144.245","0","0","0","0","0","0","192.349.485"
"Letland","1.866.034","1.818.520","1.771.408","1.724.167","1.676.942","516.280","492.542","0","0","0","0","0","9.865.893"
"Litouwen","7.365.563","7.095.977","5.145.420","0","0","0","0","0","0","0","0","0","19.606.960"
"Malediven","7.647.968","14.881.540","14.376.439","13.867.501","13.361.539","12.847.405","12.340.689","11.831.751","11.324.174","10.813.270","5.215.564","0","128.507.839"
"Marokko","24.796.268","478.444","478.444","391.588","298.891","0","0","0","0","0","0","0","26.443.635"
"Mexico","35.854.761","21.455.920","6.373.071","232.706.041","937.233","479.551","69.502","66.447","63.394","0","0","0","298.005.919"
"Mozambique","0","56.472.538","55.581.102","54.688.224","53.797.079","52.901.450","52.009.587","51.116.708","50.225.136","49.330.362","48.438.071","162.502.240","687.062.495"
"Nederland","118.764.354","101.006.604","62.644.594","79.518.036","75.886.146","52.856.063","33.024.096","14.413.136","14.156.142","117.454.070","3.420.112","1.855.381","674.998.733"
"Nigeria","19.136.706","12.764.882","7.674.581","5.450.874","2.841.243","0","0","0","0","0","0","0","47.868.285"
"Noorwegen","25.676.715","25.149.216","24.450.681","42.381.122","34.327.595","26.398.744","22.261.364","21.357.324","20.458.368","19.545.395","18.645.204","69.185.754","349.837.482"
"Oeganda","2.318.861","2.318.861","2.318.862","2.215.943","2.215.943","2.215.943","2.215.943","2.215.943","2.215.943","2.215.943","2.215.943","14.412.275","39.096.407"
"Oekraïne","9.302.120","1.529.504","1.286.255","533.261","0","0","0","0","0","0","0","0","12.651.139"
"Oezbekistan","2.373.276","2.324.979","1.771.652","869.675","0","0","0","0","0","0","0","0","7.339.583"
"Oman","73.739.894","70.919.950","67.430.184","63.256.074","59.086.029","55.588.014","52.096.575","48.603.881","0","0","0","0","490.720.602"
"Panama","7.916.057","5.126.774","197.891","183.288","168.696","154.083","0","0","0","0","0","0","13.746.788"
"Paraguay","638.931","596.928","555.288","513.624","181.373","141.315","104.715","0","0","0","0","0","2.732.174"
"Polen","586.838","504.965","0","0","0","0","0","0","0","0","0","0","1.091.803"
"Portugal","355.596","0","0","0","0","0","0","0","0","0","0","0","355.596"
"Rusland","5.920.133","5.682.602","3.775.941","3.047.498","2.878.861","1.421.630","678.778","0","0","0","0","0","23.405.443"
"Rwanda","67.826","83.212","83.212","15.386","0","0","0","0","0","0","0","0","249.636"
