"EKV","","","","","","","","","","","","",""
"Argentinië","","","","","","","","","","","","",""
"943273 - IHC HOLLAND B.V.","","","653.615","","","","","","633.983","","","","1.287.597"
"1040070 - IHC MERWEDE HOLDING B.V.","","247.224","","","","","","243.114","","","","","490.338"
"863214 - NEDERLANDSE FINANCIERINGS-","","","","","","422.481","","","","","","422.481","844.962"
"Botswana","","","","","","","","","","","","",""
"1218915 - BUAN AGRIVOLTAICS B.V.","","","15.897","","31.794","","31.794","15.897","","31.794","","31.794","158.972"
"Canada","","","","","","","","","","","","",""
"1029103 - PHILIPS MEDICAL SYSTEMS NE","","","212.798","","","55.323","","","205.101","","","53.321","526.543"
"1165182 - NEPTUNE SHIPYARDS B.V.","296.984","","","","","","295.055","","","","","","592.039"
"Cuba","","","","","","","","","","","","",""
"822565 - DZ BANK AG DEUTSCHE ZENTRA","1.926.805","","","","","","1.883.610","","","","","","3.810.415"
"Ghana","","","","","","","","","","","","",""
"522855 - ABN AMRO BANK N.V.","","","","","","","","","1.693.245","","","","1.693.245"
"926571 - ABN AMRO BANK N.V.","","","","","","","","811.401","","","","","811.401"
"1010087 - ING BANK N.V.","","","1.251.480","","","","","","1.229.218","","","","2.480.698"
"1150956 - COÖPERATIEVE RABOBANK U.A","2.387.115","","","","","","2.358.666","","","","","","4.745.782"
"Hong Kong","","","","","","","","","","","","",""
"1029659 - AKA AUSFUHRKREDIT- GESELL","","","","","204.645","","","","","","40.209","","244.854"
"1035751 - AKA AUSFUHRKREDIT- GESELL","","","","","529.343","","","","","","110.377","","639.720"
"Indonesië","","","","","","","","","","","","",""
"494968 - COÖPERATIEVE RABOBANK U.A.","","","","576.996","","","","","","652.912","","","1.229.908"
"Ivoorkust","","","","","","","","","","","","",""
"932328 - COÖPERATIEVE RABOBANK U.A.","2.192.454","","","","","","2.120.674","","","","","","4.313.128"
"Kameroen","","","","","","","","","","","","",""
"1057236 - IHC HOLLAND B.V.","","","","","","","","","","8.959","","","8.959"
"Kenia","","","","","","","","","","","","",""
"963948 - COÖPERATIEVE RABOBANK U.A.","","598.980","","","","","","586.339","","","","","1.185.319"
"Noorwegen","","","","","","","","","","","","",""
"875188 - GARANTIINSTITUTTET FOR EKSP","","","","4.084.917","","","","","","4.041.714","","","8.126.631"
"Oekraïne","","","","","","","","","","","","",""
"184735 - COÖPERATIEVE RABOBANK U.A.","","","","","","","1.213.585","","","","","","1.213.585"
"1000839 - VANDERLANDE INDUSTRIES B.V","","","","","","372.924","","","","","","358.969","731.893"
