Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
539477,Letters to a Young Poet,Rainer Maria Rilke,"Rilke, Rainer Maria",,"=""0394741048""","=""9780394741048""",4,4.29,Vintage,Mass Market Paperback,112,1984,1929,2019/06/24,2022/09/27,"paperback, books-i-own, english","paperback (#267), books-i-own (#538), english (#119)",read,,,,1,0
23913,The Marriage of Heaven and Hell,William Blake,"Blake, William",,"=""0486281221""","=""9780486281223""",5,4.20,Dover Publications,Paperback,48,1994,1790,2012/11/27,2022/09/27,"books-i-own, paperback, english","books-i-own (#283), paperback (#268), english (#115)",read,,,,1,0
943910,The Prophet,Kahlil Gibran,"Gibran, Kahlil",,"=""817224097X""","=""9788172240974""",5,4.23,Jaico Publishing House,,,1999,1923,2016/01/01,2022/09/27,"books-i-own, paperback, english","books-i-own (#284), paperback (#269), english (#114)",read,,,,1,0
821862,Essays and Poems by Ralph Waldo Emerson,Ralph Waldo Emerson,"Emerson, Ralph Waldo",,"=""0460876775""","=""9780460876773""",5,4.01,Everyman Paperback,Paperback,368,1995,1856,2017/01/01,2022/09/27,"books-i-own, paperback, english","books-i-own (#285), paperback (#270), english (#113)",read,,,,1,0
1500543,Book of Longing,Leonard Cohen,"Cohen, Leonard",,"=""0141027568""","=""9780141027562""",4,4.00,Penguin,Paperback,232,2007,2006,2019/07/29,2022/09/27,"paperback, books-i-own, double, english","paperback (#266), books-i-own (#288), double (#2), english (#111)",read,,,,1,0
117531,Dark Night of the Soul,John of the Cross,"Cross, John of the",Edgar Allison Peers,"=""0486426939""","=""9780486426938""",5,4.17,Dover Publications,Paperback,111,2003,1584,2017/01/01,2022/09/27,"books-i-own, paperback, english","books-i-own (#290), paperback (#274), english (#109)",read,,,,1,0
31224173,The Collected Poems of W.B. Yeats,W.B. Yeats,"Yeats, W.B.",Cedric Watts,"=""""","=""""",4,4.23,Wordsworth Editions,Paperback,402,2008,1933,2019/01/01,2022/09/27,"books-i-own, paperback, english","books-i-own (#291), paperback (#275), english (#108)",read,,,,1,0
7107586,The Illuminations,Arthur Rimbaud,"Rimbaud, Arthur",Keith  Miller,"=""1448637295""","=""9781448637294""",4,4.33,Quinx Books,Paperback,114,2009,1875,2016/01/01,2022/09/27,"books-i-own, paperback, english","books-i-own (#292), paperback (#276), english (#107)",read,,,,1,0
44868,Essay on Man and Other Poems (Dover Thrift Editions: Poetry),Alexander Pope,"Pope, Alexander",,"=""0486280535""","=""9780486280530""",4,3.70,Dover Publications,Paperback,112,1994,1734,2015/01/01,2022/09/27,"books-i-own, paperback, english","books-i-own (#293), paperback (#277), english (#106)",read,,,,1,0
17080973,Verlichting voor luie mensen,Paul Smit,"Smit, Paul",,"=""9077228896""","=""9789077228890""",3,3.55,Samsara,Paperback,96,2012,2012,2015/01/01,2022/09/27,"books-i-own, paperback, dutch","books-i-own (#297), paperback (#281), dutch (#32)",read,,,,1,0
