page,table_index,method,accuracy,whitespace,order,text_size,text_density
91,97,stream,99.99999999999973,9.52,2,N/A,N/A
92,98,stream,97.22563640391252,0.0,1,N/A,N/A
93,99,stream,92.85890466676877,57.81,1,N/A,N/A
94,100,stream,95.76362243693107,64.2,1,N/A,N/A
95,101,stream,96.98909260813191,51.52,1,N/A,N/A
96,102,stream,93.89875845028816,50.0,1,N/A,N/A
97,103,stream,98.57614029634831,42.9,1,N/A,N/A
98,104,stream,99.02740538786877,34.19,1,N/A,N/A
99,105,stream,98.68798851709501,38.96,1,N/A,N/A
100,106,stream,99.11313616861638,33.33,1,N/A,N/A
101,107,stream,97.79868387644136,49.13,1,N/A,N/A
102,108,stream,96.8788654865326,47.62,1,N/A,N/A
103,109,stream,100.00000000000001,78.57,1,N/A,N/A
104,110,stream,99.99999999999982,76.89,1,N/A,N/A
105,111,stream,99.99999999999997,72.0,1,N/A,N/A
106,112,stream,100.0,0.0,1,N/A,N/A
107,113,stream,96.45296443173572,55.56,1,N/A,N/A
108,114,stream,98.72948829811833,32.21,1,N/A,N/A
109,115,stream,98.51903214549708,40.28,1,N/A,N/A
110,116,stream,96.13390973510643,52.22,1,N/A,N/A
111,117,stream,99.99999999999976,77.94,1,N/A,N/A
112,118,stream,100.00000000000004,76.54,1,N/A,N/A
55,1,lattice,99.92387925657741,12.5,1,N/A,N/A
79,2,lattice,10.571310837642423,95.39,1,N/A,N/A
79,3,lattice,71.12870281305243,96.0,2,N/A,N/A
80,4,lattice,57.62528895245084,96.01,1,N/A,N/A
80,5,lattice,58.22230663822216,96.26,2,N/A,N/A
80,6,lattice,63.36707176426779,95.39,3,N/A,N/A
80,7,lattice,80.41991661993207,92.8,4,N/A,N/A
