"Amerika","","","","","","","","","",""
"","Argentinië (premieklasse: 7)","","","","","","","","",""
"1022456","polis","30-sep-2024","PHILIPS MEDICAL SYSTEMS NEDERLAN","SWISS MEDICAL SA","Machinery and electronics","599.809","116.788","28.010","469.842","355.209"
"1025193","polis","27-mei-2026","PHILIPS MEDICAL SYSTEMS NEDERLAN","INSTITUTO ARGENTINO DE DIAGNO","Machinery and electronics","921.898","457.588","46.523","635.072","258.055"
"1069023","polis","30-mrt-2027","PHILIPS MEDICAL SYSTEMS NEDERLAN","HOSPITAL BRITANICO DE BUENOS A","Machinery and electronics","1.267.693","587.638","100.700","961.034",""
"1083353","polis","29-dec-2025","PHILIPS MEDICAL SYSTEMS NEDERLAN","AUREA MED S.A.","Machinery and electronics","1.098.408","386.978","64.626","733.959","355.463"
"1107028","polis","31-dec-2030","PHILIPS MEDICAL SYSTEMS NEDERLAN","CENTRO INTEGRAL DE DIAGNOSTIC","Machinery and electronics","1.175.888","801.150","94.945","",""
"1119813","polis","01-nov-2027","PHILIPS MEDICAL SYSTEMS NEDERLAN","SERVICARD S.A.","Machinery and electronics","597.788","451.015","36.307","462.327","30.528"
"1214388","polis","30-nov-2028","PHILIPS MEDICAL SYSTEMS NEDERLAN","IMAGENES MEDICAS S.R.L.","Machinery and electronics","969.069","969.069","","",""
"","","","","","Totaal land","6.630.551","3.770.226","371.111","3.262.234","999.256"
"","Curaçao (premieklasse: 5)","","","","","","","","",""
"1089494","polis","13-mrt-2026","ELEMENTAL WATER MAKERS B.V.","FLAMINGO ONTWIKKELINGSMAATS","Other","273.791","115.130","18.744","230.420","122.135"
"1089534","dekkingsadvies","31-aug-2023","VAN SLUISVELD STEEL PROJECTS B.V.","FLAMINGO ONTWIKKELINGSMAATS","Metals, Mining, Minerals","","","","",""
"","","","","","Totaal land","273.791","115.130","18.744","230.420","122.135"
"","Ecuador (premieklasse: 6)","","","","","","","","",""
"864635","polis","31-aug-2022","PHILIPS MEDICAL SYSTEMS NEDERLAN","VALLESCAN CIA. LTDA. ""VALLESCAN","Machinery and electronics","","","0","",""
"1073339","polis","30-nov-2027","DAMEN CUSTOMER FINANCE B.V.","CITI TUG S.A.","Transport","","","-681","290.461",""
"1075654","polis","28-apr-2025","PHILIPS MEDICAL SYSTEMS NEDERLAN","ECUADOR OVERSEAS AGENCIES C.","Machinery and electronics","548.388","128.325","23.644","400.332","311.001"
"1075839","polis","20-jul-2025","PHILIPS MEDICAL SYSTEMS NEDERLAN","ECUADOR OVERSEAS AGENCIES C.","Machinery and electronics","404.161","111.652","16.256","317.669","232.657"
"1075840","polis","13-jun-2024","PHILIPS MEDICAL SYSTEMS NEDERLAN","ECUADOR OVERSEAS AGENCIES C.","Machinery and electronics","352.502","34.029","13.061","277.832","260.652"
"1156787","polis","01-jun-2028","PHILIPS MEDICAL SYSTEMS NEDERLAN","ECUADOR OVERSEAS AGENCIES C.","Machinery and electronics","1.540.329","1.046.829","82.734","",""
"1158182","polis","26-mrt-2026","PHILIPS MEDICAL SYSTEMS NEDERLAN","ECUADOR OVERSEAS AGENCIES C.","Machinery and electronics","1.180.852","423.758","69.106","819.559","475.080"
"1270588","polis","18-aug-2028","DUTCH HEALTH B.V.","HOSPITAL DEL DIA Y IESPECIALIDA","Other","4.288.581","4.288.581","289.491","3.595.114",""
"","","","","","Totaal land","8.314.813","6.033.173","493.611","5.700.966","1.279.390"
"","El Salvador (premieklasse: 7)","","","","","","","","",""
"1123273","polis","18-jan-2026","BINCX B.V.","AVICOLA CAMPESTRE S.A. DE C.V. ""","Construction, Real Estate","548.639","286.582","32.653","256.984",""
"","","","","","Totaal land","548.639","286.582","32.653","256.984",""
"","Uruguay (premieklasse: 3)","","","","","","","","",""
"1160279","polis","04-mei-2026","PHILIPS MEDICAL SYSTEMS NEDERLAN","LABIMED SA","Machinery and electronics","656.994","301.507","20.963","459.200","207.369"
"","","","","","Totaal land","656.994","301.507","20.963","459.200","207.369"
"","Verenigde Staten van Amerika (premieklasse: 0)","","","","","","","","",""
"1140620","polis","31-mrt-2027","LIQAL B.V.","GASREC LTD","Metals, Mining, Minerals","1.388.152","1.388.152","44.553","619.430",""
"1155109","polis","06-okt-2026","LIQAL B.V.","GASREC LTD","Metals, Mining, Minerals","1.042.058","545.533","52.850","903.751","381.600"
"1155147","polis","06-okt-2026","LIQAL B.V.","GASREC LTD","Metals, Mining, Minerals","1.224.281","644.319","62.421","1.067.393","450.705"
"","","","","","Totaal land","3.654.491","2.578.004","159.824","2.590.574","832.304"
