"polis","produkt","eind","verzekerde","debiteur","sector","bruto nominaal","netto reëel","premie","bevoorschot","schade","provenu"
"nummer","","datum","naam","naam","","obligo","obligo","","","",""
"","","","","","Totaal land","615.567","551.232","68.427","391.530","1.718.310","402.315"
"Marokko (premieklasse: 3)","","","","","","","","","","",""
"1201283","dekkingsadvies","31-mrt-2024","DE JONG & LAVINO B.V.","SOREMAR GROUP - SA","Other","283.223","283.223","","","",""
"1210744","polis","20-sep-2027","DE JONG & LAVINO B.V.","SOREMAR GROUP - SA","Other","209.760","175.538","10.691","213.648","","44.765"
"","","","","","Totaal land","492.983","458.761","10.691","213.648","","44.765"
"Mozambique (premieklasse: 7)","","","","","","","","","","",""
"1096361","polis","25-okt-2024","RURAL SPARK B.V.","DYNAMISS LDA","Electricity, Gas, Water","284.801","54.917","16.269","212.023","","159.706"
"1175236","polis","05-jul-2025","RURAL SPARK B.V.","DYNAMISS LDA","Electricity, Gas, Water","422.710","199.228","22.389","325.549","","137.950"
"1268455","polis","31-okt-2026","RURAL SPARK B.V.","DYNAMISS LDA","Electricity, Gas, Water","543.577","543.577","29.171","","",""
"","","","","","Totaal land","1.251.088","797.722","67.829","537.572","","297.655"
"Niger (premieklasse: 7)","","","","","","","","","","",""
"1153445","polis","02-apr-2026","RURAL SPARK B.V.","MAYAKI TRADING","Electricity, Gas, Water","191.606","114.048","12.111","164.355","","58.173"
"","","","","","Totaal land","191.606","114.048","12.111","164.355","","58.173"
"Nigeria (premieklasse: 6)","","","","","","","","","","",""
"185652","polis","01-mrt-2021","INDEPENDENT ENERGY B.V.","SOSAI RENEWABLE ENERGIES COM","Electricity, Gas, Water","130.094","0","5.852","97.414","","98.094"
"401014","polis","01-feb-2021","BAKERY INITIATIVES INTERNATIONAL B.","DELLY TEE KENNY NIG","Machinery and electronics","277.239","0","12.759","141.286","71.436","70.000"
"1079156","polis","20-mrt-2026","INDEPENDENT ENERGY B.V.","SOSAI RENEWABLE ENERGIES COM","Electricity, Gas, Water","216.485","94.761","18.026","186.719","","91.640"
"1110640","polis","26-nov-2024","BAKERY INITIATIVES INTERNATIONAL B.","BN FOODS LIMITED","Machinery and electronics","2.017.587","578.244","106.967","1.787.625","","152.576"
"1168375","polis","10-jul-2030","INDEPENDENT ENERGY B.V.","INDEPENDENT ENERGY FUND B.V.","Electricity, Gas, Water","459.694","459.694","44.942","393.243","",""
"1221589","polis","31-mei-2026","AFRICAN BAKERY TRADE & FINANCE B.","GRACE FOODS AND PASTRIES NIG","Machinery and electronics","250.440","250.440","14.287","135.298","",""
"1225155","dekkingsadvies","31-dec-2022","AAAS ENERGY B.V.","PROSERVE ENERGY SERVICES LTD","Electricity, Gas, Water","","","","","",""
"1241903","polis","30-sep-2031","INDEPENDENT ENERGY B.V.","INDEPENDENT ENERGY FUND B.V.","Electricity, Gas, Water","1.050.304","1.050.304","97.789","204.000","",""
"1257082","polis","23-mrt-2026","RURAL SPARK B.V.","A SOLAR SYSTEMS NIGERIA LIMITE","Electricity, Gas, Water","689.340","464.132","28.966","511.351","",""
"","","","","","Totaal land","5.091.183","2.897.575","329.587","3.456.936","71.436","412.309"
"","Oeganda (premieklasse: 6)","","","","","","","","","",""
"1171806","polis","30-sep-2026","PAS REFORM B.V.","KUKUCHIC LTD","Other","1.070.316","710.953","72.246","932.955","","259.111"
"1244785","polis","10-nov-2025","RURAL SPARK B.V.","FINCA PLUS LLC","Electricity, Gas, Water","405.628","219.644","16.601","310.534","","108.819"
"1252263","dekkingsadvies","31-mei-2024","GO & GROW FARM SOLUTIONS B.V.","NEW BUKUMBI COFFEE PROCESSO","Machinery and electronics","102.836","102.836","","","",""
"","","","","","Totaal land","1.578.780","1.033.433","88.847","1.243.489","","367.930"
"Senegal (premieklasse: 5)","","","","","","","","","","",""
"1048218","polis","31-jul-2024","RURAL SPARK B.V.","ILEMEL ENERGY SOLUTIONS","Electricity, Gas, Water","185.266","49.896","10.665","120.982","",""
"","","","","","Totaal land","185.266","49.896","10.665","120.982","",""
"Sierra Leone (premieklasse: 7)","","","","","","","","","","",""
"1228567","dekkingsadvies","31-dec-2023","DUTCH HEALTH B.V.","ECOMED (SL) LTD.","Machinery and electronics","4.198.976","4.198.976","","","",""
"","","","","","Totaal land","4.198.976","4.198.976","","","",""
