"DTIF","","","","","","","","","","","","",""
"Argentinië","","","","","","","","","","","","",""
"1025193 - PHILIPS MEDICAL SYSTEMS NE","","","83.636","","","","","","80.679","","","","164.314"
"1069023 - PHILIPS MEDICAL SYSTEMS NE","82.993","","","","","","79.921","","","","","","162.913"
"1083353 - PHILIPS MEDICAL SYSTEMS NE","48.059","","","46.955","","","45.960","","","45.042","","","186.016"
"1119813 - PHILIPS MEDICAL SYSTEMS NE","","29.331","","","28.826","","","28.410","","","27.817","","114.385"
"1022456 - PHILIPS MEDICAL SYSTEMS NE","","24.239","","","23.757","","","23.344","","","22.931","","94.271"
"Australië","","","","","","","","","","","","",""
"1077148 - GEREEDSCHAPPENFABRIEK VA","","","","262.865","","","","","","","","","262.865"
"China","","","","","","","","","","","","",""
"1192757 - MEYN FOOD PROCESSING TEC","","","382.471","","","","","","380.605","","","","763.076"
"Curaçao","","","","","","","","","","","","",""
"1089494 - ELEMENTAL WATER MAKERS B.","","","","","","23.895","","","","","","23.460","47.356"
"Duitsland","","","","","","","","","","","","",""
"1128002 - VAN DEN BRINK AUTOMATION B","","","","","","","51.230","","","","","","51.230"
"Ecuador","","","","","","","","","","","","",""
"1075654 - PHILIPS MEDICAL SYSTEMS NE","","","","","22.666","","22.129","","","21.625","","","66.420"
"1075839 - PHILIPS MEDICAL SYSTEMS NE","","","","17.137","","","16.680","","","16.309","","","50.127"
"1075840 - PHILIPS MEDICAL SYSTEMS NE","","","","","","","","","34.029","","","","34.029"
"1158182 - PHILIPS MEDICAL SYSTEMS NE","","","","","","","50.788","","","49.939","","48.999","149.726"
"1270588 - DUTCH HEALTH B.V.","","","","","","","","469.121","","","","","469.121"
"1073339 - DAMEN CUSTOMER FINANCE B.","","","646.678","","","","","","631.092","","","","1.277.770"
"El Salvador","","","","","","","","","","","","",""
"1123273 - BINCX B.V.","","","","60.599","","","","","","58.886","","","119.484"
"Estland","","","","","","","","","","","","",""
"1138654 - AIRCRETE SYSTEMS B.V.","","","","","152.915","","","","","","151.288","","304.203"
"Griekenland","","","","","","","","","","","","",""
"1025342 - ALLOPTIMAL B.V.","","","","62.419","","","","","","60.806","","","123.225"
"Hong Kong","","","","","","","","","","","","",""
"1024126 - IM - INNOVATING B.V.","","","","","","","48.166","","","","","","48.166"
"1054060 - IM - INNOVATING B.V.","","","","","","","","23.441","","","","","23.441"
"Oekraïne","","","","","","","","","","","","",""
"1101466 - HORTILUX SCHRÉDER B.V.","","","54.716","","","","","54.039","","","","","108.755"
"1149922 - HORTILUX SCHRÉDER B.V.","","70.973","","70.973","","","","69.938","","69.938","","","281.822"
