"EKV","","","","","","","","","","","","",""
"Panama","","","","","","","","","","","","",""
"455904 - ING BANK N.V.","","","","","1.236.663","","","","","","","1.227.531","2.464.194"
"475794 - ING BANK N.V.","1.235.850","","","","","","1.227.299","","","","","","2.463.149"
"994431 - DAMEN SHIPYARDS GORINCHEM","","","555.890","538.741","","","","543.762","","526.987","","","2.165.379"
"Saoedi Arabië","","","","","","","","","","","","",""
"382637 - COÖPERATIEVE RABOBANK U.A.","","","7.168.617","","","","","","6.863.836","","","","14.032.453"
"Spanje","","","","","","","","","","","","",""
"1201454 - DAMEN CUSTOMER FINANCE B.","","","","","","771.407","","","","","","764.772","1.536.179"
"Sri Lanka","","","","","","","","","","","","",""
"358504 - COÖPERATIEVE RABOBANK U.A.","","","","1.942.071","","","","","","1.896.311","","","3.838.381"
"395009 - COÖPERATIEVE RABOBANK U.A.","","","1.352.428","","","54.170","","","1.334.184","","","36.108","2.776.890"
"416157 - COÖPERATIEVE RABOBANK U.A.","","","948.713","","","31.551","","","938.196","","","21.034","1.939.495"
"764545 - COÖPERATIEVE RABOBANK U.A.","","","","","3.206.709","","","","","","3.120.095","","6.326.804"
"790041 - ING BANK N.V.","3.796.558","","","","","","3.751.943","","","","","","7.548.500"
"814882 - COÖPERATIEVE RABOBANK U.A.","","","","","","1.306.934","","","","","","1.281.051","2.587.985"
"862097 - COÖPERATIEVE RABOBANK U.A.","","","5.227.228","","","","","","5.086.060","","","","10.313.288"
"941989 - COÖPERATIEVE RABOBANK U.A.","","","1.306.998","","","","","","1.297.758","","","","2.604.756"
"1047917 - ING BANK N.V.","3.122.823","","","","","","3.058.572","","","","","","6.181.395"
"1146138 - COÖPERATIEVE RABOBANK U.A","","","","","","","","","","2.750.789","","","2.750.789"
"358528 - COÖPERATIEVE RABOBANK U.A.","","","","2.294.401","","","","","","2.240.338","","","4.534.739"
"Suriname","","","","","","","","","","","","",""
"503004 - ING BANK N.V.","","","","","","","1.271.480","","","","","","1.271.480"
"Tanzania","","","","","","","","","","","","",""
"838264 - COÖPERATIEVE RABOBANK U.A.","260.365","","","260.365","","","260.365","","","260.365","","","1.041.459"
"857235 - PHILIPS MEDICAL SYSTEMS NED","789.427","","","","","","789.427","","","787.938","","","2.366.791"
"Turkije","","","","","","","","","","","","",""
"1035460 - PHILIPS MEDICAL SYSTEMS NE","","","286.391","","","19.654","","279.787","","","","19.201","605.033"
"Verenigd Koninkrijk","","","","","","","","","","","","",""
"891448 - B.V. SCHEEPSWERF DAMEN HAR","","723.603","","","","","","714.428","","","","","1.438.030"
"926156 - COÖPERATIEVE RABOBANK U.A.","","","","","1.274.933","","","","","","1.274.933","","2.549.866"
"Verenigde Arabische Emiraten","","","","","","","","","","","","",""
"146067 - DAMEN SHIPYARDS GORINCHEM","310.062","","","","","","301.909","","","","","","611.971"
"147605 - DAMEN SHIPYARDS GORINCHEM","","","310.062","","","","","","301.909","","","","611.971"
"779865 - DAMEN SHIPYARDS GORINCHEM","","213.566","","","","","","208.932","","","","","422.498"
