"polis","produkt","eind","verzekerde","debiteur","sector","bruto nominaal","netto reëel","premie","bevoorschot","schade","provenu"
"nummer","","datum","naam","naam","","obligo","obligo","","","",""
"1162582","polis","30-sep-2026","PAS REFORM B.V.","ARAB POULTRY BREEDERS CO. LTD","Machinery and electronics","1.035.232","1.035.232","77.306","","",""
"1232426","polis","31-dec-2027","PAS REFORM B.V.","ALRASHIDEEN FOR ANIMAL PRODU","Machinery and electronics","1.188.474","1.188.474","87.565","","",""
"","","","","","Totaal land","2.223.706","2.223.706","164.871","","",""
"Somali Republiek (premieklasse: 7)","","","","","","","","","","",""
"258027","polis","01-mei-2023","UNITHERM B.V.","AMINA FISHING LLC","Other","667.926","0","55.649","544.448","",""
"1083543","polis","12-aug-2026","INDEPENDENT ENERGY B.V.","MOGADISHU POWER SUPPLY","Electricity, Gas, Water","1.559.641","845.644","143.142","1.413.240","","417.067"
"1274228","dekkingsadvies","30-apr-2024","INDEPENDENT ENERGY B.V.","AFRICAN ENERGY EXPERTS","Electricity, Gas, Water","2.234.763","2.234.763","","","",""
"","","","","","Totaal land","4.462.330","3.080.407","198.791","1.957.688","","417.067"
"Zambia (premieklasse: 7)","","","","","","","","","","",""
"1042160","polis","01-sep-2022","MIMI MOTO B.V.","EMERGING COOKING SOLUTIONS Z","Machinery and electronics","346.626","0","15.230","293.326","","6.821"
"1223759","polis","01-sep-2025","RURAL SPARK B.V.","RDG COLLECTIVE LIMITED","Electricity, Gas, Water","291.270","156.889","14.691","","",""
"1266286","polis","22-dec-2025","RURAL SPARK B.V.","RDG COLLECTIVE LIMITED","Electricity, Gas, Water","280.629","188.944","15.412","","",""
"1266827","polis","20-apr-2026","GO & GROW FARM SOLUTIONS B.V.","NYAMANZA FARMING LTD.","Machinery and electronics","142.655","142.655","7.482","","",""
"","","","","","Totaal land","1.061.180","488.488","52.815","293.326","","6.821"
"Zimbabwe (premieklasse: 7)","","","","","","","","","","",""
"874924","polis","18-jan-2023","PAS REFORM B.V.","SONDELANI RANCHING (PVT) LTD","Machinery and electronics","615.159","0","41.870","551.944","","104.832"
"1159557","polis","10-mrt-2025","GO & GROW FARM SOLUTIONS B.V.","BLUESKY FARMS (PVT) LTD","Machinery and electronics","331.995","139.518","18.610","279.804","","145.989"
"1167044","polis","14-apr-2025","PAS REFORM B.V.","BROYLAY INVESTMENTS PRIVATE L","Other","563.529","245.436","33.167","505.430","","266.084"
"1198329","polis","30-apr-2026","GO & GROW FARM SOLUTIONS B.V.","PICKLEDON INVESTMENTS PVT LTD","Machinery and electronics","136.577","73.696","9.289","110.383","","47.552"
"1214061","polis","30-nov-2026","GO & GROW FARM SOLUTIONS B.V.","BLUESKY FARMS (PVT) LTD","Machinery and electronics","747.175","519.179","52.978","0","",""
"1219332","polis","15-nov-2025","GO & GROW FARM SOLUTIONS B.V.","C.P. VAN HEERDEN (PVT) LTD","Machinery and electronics","423.675","285.004","24.884","","",""
"1227826","polis","21-dec-2029","AAAS ENERGY B.V.","PULSE MEDICAL CARE (PVT) LTD","Electricity, Gas, Water","376.818","312.373","34.294","276.190","","25.890"
"1256220","polis","01-mrt-2026","GO & GROW FARM SOLUTIONS B.V.","STELTA HAULAGE","Machinery and electronics","250.657","179.497","13.089","215.008","","45.346"
"1283550","polis","31-okt-2025","RURAL SPARK B.V.","DIALIGHT TRADING (PRIVATE) LIMIT","Electricity, Gas, Water","351.325","351.325","14.262","","",""
"1293118","dekkingsadvies","31-mei-2024","GO & GROW FARM SOLUTIONS B.V.","CHACO TRADING (PVT) LTD","Machinery and electronics","259.711","259.711","","","",""
"","","","","","Totaal land","4.056.621","2.365.738","242.443","1.938.759","","635.693"
"Zuid Afrika (premieklasse: 4)","","","","","","","","","","",""
"1088295","polis","30-okt-2022","PERFO TEC B.V.","MASTER PLASTICS LTD","Machinery and electronics","200.130","0","3.155","148.791","","149.150"
"","","","","","Totaal land","200.130","0","3.155","148.791","","149.150"
