"DTIF","","","","","","","","","","","",""
"Oezbekistan","","","","","","","","","","","",""
"1231116 - B.V. VOORHEEN FIRMA SCHAAP","","","","","187.960","","","","","","180.996","368.956"
"Saoedi Arabië","","","","","","","","","","","",""
"1099882 - KOKS INDUSTRIE B.V.","","61.309","","41.900","","83.800","61.309","61.309","","41.900","","351.526"
"1181474 - KOKS INDUSTRIE B.V.","","","","42.733","","","60.226","","","42.733","","145.692"
"1099900 - KOKS INDUSTRIE B.V.","","","143.568","","","","","","143.568","","","287.135"
"1048201 - KOKS INDUSTRIE B.V.","","","42.733","33.103","","","132.414","","42.733","33.103","","284.086"
"1142326 - MEAF MACHINES B.V.","","","","77.886","","","","","","77.886","","155.771"
"Turkije","","","","","","","","","","","",""
"1137110 - FERM INTERNATIONAL B.V.","","166.601","","","","","","","","","","166.601"
"Uruguay","","","","","","","","","","","",""
"1160279 - PHILIPS MEDICAL SYSTEMS NE","33.153","","","","","","57.676","","","","","90.829"
"Verenigd Koninkrijk","","","","","","","","","","","",""
"1156631 - KOKS INDUSTRIE B.V.","","128.073","","","","","","128.073","","","","256.146"
"Verenigde Staten van Amerika","","","","","","","","","","","",""
"1155109 - LIQAL B.V.","","","","","","94.670","","","","","","94.670"
"1155147 - LIQAL B.V.","","","","","","111.813","","","","","","111.813"
"Zwitserland","","","","","","","","","","","",""
"1130250 - KAPPE INTERMEDIAIR B.V.","","","621.512","","","","","","606.948","","","1.228.460"
