"2024","","januari","februari","maart","april","mei","juni","juli","augustus","september","oktober","november","december","totaal"
"","aflossing AWG","0","0","0","0","0","1.589.630","0","0","0","0","0","0","1.589.630"
"totaal jaar 2024","","","","","","","","","","","","","",""
"","rente AWG","0","0","0","0","0","80.475","0","0","0","0","0","0","80.475"
"","boeterente AWG","","","","","","","","","","","","",""
"","Totaal AWG","0","0","0","0","0","1.670.105","0","0","0","0","0","0","1.670.105"
"","aflossing EUR","253.400","12.207","0","0","1.654.996","4.209.400","305.449","469.663","0","1.210.317","1.697.061","4.399.366","14.211.860"
"","rente EUR","924.550","0","0","0","0","773.190","891.047","0","0","740.429","0","698.251","4.027.467"
"","boeterente EUR","439.849","0","0","0","0","0","0","0","0","0","0","0","439.849"
"","Totaal EUR","1.617.798","12.207","0","0","1.654.996","4.982.590","1.196.496","469.663","0","1.950.747","1.697.061","5.097.617","18.679.175"
